ID	DOCULECT	CONCEPT	GLOSSID	IPA	TOKENS	COGID	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	COGNATES
1043	Greek	meat	53	kreas	k r ea s	304	1 5 7 3	ACXN	KRES	9	9.K.C 9.R.C 9.E.V 9.S.c	2.0 1.5 1.5 0.8	0	870
1044	Armenian	meat	53	mis	m i s	307	4 7 3	AXN	MIS	1	1.M.C 1.I.V 1.S.c	2.0 1.5 0.8	0	862
1045	Romanian	meat	53	karne	k a r n e	306	1 7 5 4 7	AXMBZ	KARNE	16	16.K.C 16.A.V 16.R.c 16.N.C 16.E.V	2.0 1.5 1.1 1.75 0.8	0	873
1046	Russian	meat	53	mʲasə	mʲ a s ə	307	4 7 3 7	AXBZ	MASE	17	17.M.C 17.A.V 17.S.C 17.E.V	2.0 1.5 1.75 0.8	0	862
1047	Polish	meat	53	mʲɛ̃sɔ	mʲ ɛ̃ s ɔ	307	4 7 3 7	AXBZ	MESU	14	14.M.C 14.E.V 14.S.C 14.U.V	2.0 1.5 1.75 0.8	0	862
1048	Norwegian	meat	53	çœt	ç œ t	309	3 7 1	AXN	SUT	13	13.S.C 13.U.V 13.T.c	2.0 1.5 0.8	0	868
1049	French	meat	53	ʃɛʁ	ʃ ɛ ʁ	306	3 7 5	AXN	SER	7	7.S.C 7.E.V 7.R.c	2.0 1.5 0.8	0	868
1050	Czech	meat	53	maso	m a s o	307	4 7 3 7	AXBZ	MASU	3	3.M.C 3.A.V 3.S.C 3.U.V	2.0 1.5 1.75 0.8	0	862
1051	Icelandic	meat	53	kʰjœːt	kʰ j œː t	309	1 6 7 1	ACXN	KJUT	11	11.K.C 11.J.C 11.U.V 11.T.c	2.0 1.5 1.5 0.8	0	865
1052	Italian	meat	53	karne	k a r n e	306	1 7 5 4 7	AXMBZ	KARNE	12	12.K.C 12.A.V 12.R.c 12.N.C 12.E.V	2.0 1.5 1.1 1.75 0.8	0	873
1053	Hindi	meat	53	goːʃt	g oː ʃ t	-310	1 7 3 1	AXLN	KUST	10	10.K.C 10.U.V 10.S.c 10.T.c	2.0 1.5 1.1 0.8	0	871
1054	Portuguese	meat	53	karnə	k a r n ə	306	1 7 5 4 7	AXMBZ	KARNE	15	15.K.C 15.A.V 15.R.c 15.N.C 15.E.V	2.0 1.5 1.1 1.75 0.8	0	873
1055	French	meat	53	vjɑ̃d	v j ɑ̃ d	308	3 6 7 1	ACXN	BJAT	7	7.B.C 7.J.C 7.A.V 7.T.c	2.0 1.5 1.5 0.8	0	881
1056	Dutch	moon	54	maːn	m aː n	315	4 7 4	AXN	MAN	5	5.M.C 5.A.V 5.N.c	2.0 1.5 0.8	0	885
1057	Swedish	moon	54	moːne	m oː n e	315	4 7 4 7	AXBZ	MUNE	19	19.M.C 19.U.V 19.N.C 19.E.V	2.0 1.5 1.75 0.8	0	885
1058	English	moon	54	muːn	m uː n	315	4 7 4	AXN	MYN	6	6.M.C 6.Y.V 6.N.c	2.0 1.5 0.8	0	885
1059	German	moon	54	moːnt	m oː n t	315	4 7 4 1	AXLN	MUNT	8	8.M.C 8.U.V 8.N.c 8.T.c	2.0 1.5 1.1 0.8	0	885
1060	Spanish	moon	54	luna	l u n a	311	5 7 4 7	AXBZ	LYNA	18	18.L.C 18.Y.V 18.N.C 18.A.V	2.0 1.5 1.75 0.8	0	882
1061	Danish	moon	54	mɔːnə	m ɔː n ə	315	4 7 4 7	AXBZ	MUNE	4	4.M.C 4.U.V 4.N.C 4.E.V	2.0 1.5 1.75 0.8	0	885
1062	Bulgarian	moon	54	luna	l u n a	311	5 7 4 7	AXBZ	LYNA	2	2.L.C 2.Y.V 2.N.C 2.A.V	2.0 1.5 1.75 0.8	0	882
1063	Greek	moon	54	selini	s e l i n i	-316	3 7 5 7 4 7	AXBYBZ	SELINI	9	9.S.C 9.E.V 9.L.C 9.I.V 9.N.C 9.I.V	2.0 1.5 1.75 1.3 1.75 0.8	0	890
1064	Armenian	moon	54	lusin	l u s i n	311	5 7 3 7 4	AXBYN	LYSIN	1	1.L.C 1.Y.V 1.S.C 1.I.V 1.N.c	2.0 1.5 1.75 1.3 0.8	0	882
1065	Romanian	moon	54	lunə	l u n ə	311	5 7 4 7	AXBZ	LYNE	16	16.L.C 16.Y.V 16.N.C 16.E.V	2.0 1.5 1.75 0.8	0	882
1066	Russian	moon	54	luna	l u n a	311	5 7 4 7	AXBZ	LYNA	17	17.L.C 17.Y.V 17.N.C 17.A.V	2.0 1.5 1.75 0.8	0	882
1067	Polish	moon	54	kɕɛ̃ʒɨʦ	k ɕ ɛ̃ ʒ ɨ ʦ	-312	1 3 7 3 7 2	ACXBYN	KSESIC	14	14.K.C 14.S.C 14.E.V 14.S.C 14.I.V 14.C.c	2.0 1.5 1.5 1.75 1.3 0.8	0	884
1068	Norwegian	moon	54	mɑːnə	m ɑː n ə	315	4 7 4 7	AXBZ	MANE	13	13.M.C 13.A.V 13.N.C 13.E.V	2.0 1.5 1.75 0.8	0	885
1069	French	moon	54	lyn	l y n	311	5 7 4	AXN	LYN	7	7.L.C 7.Y.V 7.N.c	2.0 1.5 0.8	0	882
1070	Czech	moon	54	mʲɛsiːʦ	mʲ ɛ s iː ʦ	315	4 7 3 7 2	AXBYN	MESIC	3	3.M.C 3.E.V 3.S.C 3.I.V 3.C.c	2.0 1.5 1.75 1.3 0.8	0	884
1071	Icelandic	moon	54	tʰuŋl	tʰ u ŋ l	313	1 7 4 5	AXBC	TYNL	11	11.T.C 11.Y.V 11.N.C 11.L.C	2.0 1.5 1.75 1.5	0	892
1072	Italian	moon	54	luna	l u n a	311	5 7 4 7	AXBZ	LYNA	12	12.L.C 12.Y.V 12.N.C 12.A.V	2.0 1.5 1.75 0.8	0	882
1073	Hindi	moon	54	ʧãd	ʧ ã d	314	2 7 1	AXN	CAT	10	10.C.C 10.A.V 10.T.c	2.0 1.5 0.8	0	891
1074	Portuguese	moon	54	luɐ	l uɐ	311	5 7	AX	LY	15	15.L.C 15.Y.V	2.0 1.5	0	882
1075	Icelandic	moon	54	mauːnɪ	m auː n ɪ	315	4 7 4 7	AXBZ	MANI	11	11.M.C 11.A.V 11.N.C 11.I.V	2.0 1.5 1.75 0.8	0	885
1076	Dutch	mountain	55	bɛrx	b ɛ r x	317	1 7 5 3	AXLN	PERG	5	5.P.C 5.E.V 5.R.c 5.G.c	2.0 1.5 1.1 0.8	0	897
1077	Swedish	mountain	55	bɛrːj	b ɛ rː j	317	1 7 5 6	AXBC	PERJ	19	19.P.C 19.E.V 19.R.C 19.J.C	2.0 1.5 1.75 1.5	0	897
1078	English	mountain	55	maʊntɪn	m aʊ n t ɪ n	-319	4 7 4 1 7 4	AXMBYN	MANTIN	6	6.M.C 6.A.V 6.N.c 6.T.C 6.I.V 6.N.c	2.0 1.5 1.1 1.75 1.3 0.8	0	898
1079	German	mountain	55	bɛrk	b ɛ r k	317	1 7 5 1	AXLN	PERK	8	8.P.C 8.E.V 8.R.c 8.K.c	2.0 1.5 1.1 0.8	0	897
1080	Spanish	mountain	55	montaɲa	m o n t a ɲ a	323	4 7 4 1 7 4 7	AXMBYBZ	MUNTANA	18	18.M.C 18.U.V 18.N.c 18.T.C 18.A.V 18.N.C 18.A.V	2.0 1.5 1.1 1.75 1.3 1.75 0.8	0	898
1081	Danish	mountain	55	bjæʁˀw	b j æ ʁˀ w	317	1 6 7 5 6	ACXBC	PJERW	4	4.P.C 4.J.C 4.E.V 4.R.C 4.W.C	2.0 1.5 1.5 1.75 1.5	0	896
1082	Bulgarian	mountain	55	plənina	p l ə n i n a	322	1 5 7 4 7 4 7	ACXBYBZ	PLENINA	2	2.P.C 2.L.C 2.E.V 2.N.C 2.I.V 2.N.C 2.A.V	2.0 1.5 1.5 1.75 1.3 1.75 0.8	0	894
1083	Greek	mountain	55	oros	o r o s	321	7 5 7 3	XBYN	URUS	9	9.U.V 9.R.C 9.U.V 9.S.c	1.5 1.75 1.3 0.8	0	901
1084	Armenian	mountain	55	sɑɾ	s ɑ ɾ	320	3 7 5	AXN	SAR	1	1.S.C 1.A.V 1.R.c	2.0 1.5 0.8	0	893
1085	Romanian	mountain	55	munte	m u n t e	323	4 7 4 1 7	AXMBZ	MYNTE	16	16.M.C 16.Y.V 16.N.c 16.T.C 16.E.V	2.0 1.5 1.1 1.75 0.8	0	898
1086	Russian	mountain	55	ɡɐra	ɡ ɐ r a	324	1 7 5 7	AXBZ	KERA	17	17.K.C 17.E.V 17.R.C 17.A.V	2.0 1.5 1.75 0.8	0	895
1087	Polish	mountain	55	ɡura	ɡ u r a	324	1 7 5 7	AXBZ	KYRA	14	14.K.C 14.Y.V 14.R.C 14.A.V	2.0 1.5 1.75 0.8	0	895
1088	Norwegian	mountain	55	fjel	f j e l	318	3 6 7 5	ACXN	BJEL	13	13.B.C 13.J.C 13.E.V 13.L.c	2.0 1.5 1.5 0.8	0	903
1089	French	mountain	55	mɔ̃taɲ	m ɔ̃ t a ɲ	323	4 7 1 7 4	AXBYN	MUTAN	7	7.M.C 7.U.V 7.T.C 7.A.V 7.N.c	2.0 1.5 1.75 1.3 0.8	0	898
1090	Czech	mountain	55	ɦora	ɦ o r a	324	3 7 5 7	AXBZ	HURA	3	3.H.C 3.U.V 3.R.C 3.A.V	2.0 1.5 1.75 0.8	0	895
1091	Icelandic	mountain	55	fjat͡l	f j a t͡l	318	3 6 7 1	ACXN	BJAT	11	11.B.C 11.J.C 11.A.V 11.T.c	2.0 1.5 1.5 0.8	0	903
1092	Italian	mountain	55	montaɲɲa	m o n t a ɲː a	323	4 7 4 1 7 4 7	AXMBYBZ	MUNTANA	12	12.M.C 12.U.V 12.N.c 12.T.C 12.A.V 12.N.C 12.A.V	2.0 1.5 1.1 1.75 1.3 1.75 0.8	0	898
1093	Hindi	mountain	55	pəɦaːɽ	p ə ɦ aː ɽ	318	1 7 3 7 5	AXBYN	PEHAR	10	10.P.C 10.E.V 10.H.C 10.A.V 10.R.c	2.0 1.5 1.75 1.3 0.8	0	893
1094	Portuguese	mountain	55	mõtə	m õ t ə	323	4 7 1 7	AXBZ	MUTE	15	15.M.C 15.U.V 15.T.C 15.E.V	2.0 1.5 1.75 0.8	0	898
1095	Danish	mountain	55	fjɛlˀ	f j ɛ lˀ	318	3 6 7 5	ACXN	BJEL	4	4.B.C 4.J.C 4.E.V 4.L.c	2.0 1.5 1.5 0.8	0	903
1096	Czech	mountain	55	vr̩x	v r̩ x	325	3 5 3	AXN	BRG	3	3.B.C 3.R.V 3.G.c	2.0 1.5 0.8	0	912
1097	Dutch	mouth	56	mɔnt	m ɔ n t	328	4 7 4 1	AXLN	MUNT	5	5.M.C 5.U.V 5.N.c 5.T.c	2.0 1.5 1.1 0.8	0	916
1098	Swedish	mouth	56	munː	m u nː	328	4 7 4	AXN	MYN	19	19.M.C 19.Y.V 19.N.c	2.0 1.5 0.8	0	916
1099	English	mouth	56	maʊð	m aʊ ð	328	4 7 3	AXN	MAD	6	6.M.C 6.A.V 6.D.c	2.0 1.5 0.8	0	916
1100	German	mouth	56	mʊnt	m ʊ n t	328	4 7 4 1	AXLN	MYNT	8	8.M.C 8.Y.V 8.N.c 8.T.c	2.0 1.5 1.1 0.8	0	916
1101	Spanish	mouth	56	boka	b o k a	327	1 7 1 7	AXBZ	PUKA	18	18.P.C 18.U.V 18.K.C 18.A.V	2.0 1.5 1.75 0.8	0	924
1102	Danish	mouth	56	mɔnˀ	m ɔ nˀ	328	4 7 4	AXN	MUN	4	4.M.C 4.U.V 4.N.c	2.0 1.5 0.8	0	916
1103	Bulgarian	mouth	56	usta	u s t a	329	7 3 1 7	XMBZ	YSTA	2	2.Y.V 2.S.c 2.T.C 2.A.V	1.5 1.1 1.75 0.8	0	914
1104	Greek	mouth	56	stoma	s t o m a	330	3 1 7 4 7	ACYBZ	STUMA	9	9.S.C 9.T.C 9.U.V 9.M.C 9.A.V	2.0 1.5 1.3 1.75 0.8	0	921
1105	Armenian	mouth	56	bɛɾɑn	b ɛ ɾ ɑ n	333	1 7 5 7 4	AXBYN	PERAN	1	1.P.C 1.E.V 1.R.C 1.A.V 1.N.c	2.0 1.5 1.75 1.3 0.8	0	913
1106	Romanian	mouth	56	gurə	g u r ə	326	1 7 5 7	AXBZ	KYRE	16	16.K.C 16.Y.V 16.R.C 16.E.V	2.0 1.5 1.75 0.8	0	913
1107	Russian	mouth	56	rot	r o t	332	5 7 1	AXN	RUT	17	17.R.C 17.U.V 17.T.c	2.0 1.5 0.8	0	929
1108	Polish	mouth	56	usta	u s t a	329	7 3 1 7	XMBZ	YSTA	14	14.Y.V 14.S.c 14.T.C 14.A.V	1.5 1.1 1.75 0.8	0	914
1109	Norwegian	mouth	56	mʉn	m ʉ n	328	4 7 4	AXN	MYN	13	13.M.C 13.Y.V 13.N.c	2.0 1.5 0.8	0	916
1110	French	mouth	56	buʃ	b u ʃ	327	1 7 3	AXN	PYS	7	7.P.C 7.Y.V 7.S.c	2.0 1.5 0.8	0	919
1111	Czech	mouth	56	uːsta	uː s t a	329	7 3 1 7	XMBZ	YSTA	3	3.Y.V 3.S.c 3.T.C 3.A.V	1.5 1.1 1.75 0.8	0	914
1112	Icelandic	mouth	56	mʏnːʏr	m ʏ nː ʏ r	328	4 7 4 7 5	AXBYN	MYNYR	11	11.M.C 11.Y.V 11.N.C 11.Y.V 11.R.c	2.0 1.5 1.75 1.3 0.8	0	916
1113	Italian	mouth	56	bokka	b o kː a	327	1 7 1 7	AXBZ	PUKA	12	12.P.C 12.U.V 12.K.C 12.A.V	2.0 1.5 1.75 0.8	0	924
1114	Hindi	mouth	56	mʊ̃ɦ	m ʊ̃ ɦ	331	4 7 3	AXN	MYH	10	10.M.C 10.Y.V 10.H.c	2.0 1.5 0.8	0	922
1115	Portuguese	mouth	56	bokɐ	b o k ɐ	327	1 7 1 7	AXBZ	PUKE	15	15.P.C 15.U.V 15.K.C 15.E.V	2.0 1.5 1.75 0.8	0	924
1116	Dutch	name	57	naːm	n aː m	334	4 7 4	AXN	NAM	5	5.N.C 5.A.V 5.M.c	2.0 1.5 0.8	0	934
1117	Swedish	name	57	namːn	n a mː n	334	4 7 4 4	AXLN	NAMN	19	19.N.C 19.A.V 19.M.c 19.N.c	2.0 1.5 1.1 0.8	0	934
1118	English	name	57	neɪm	n eɪ m	334	4 7 4	AXN	NEM	6	6.N.C 6.E.V 6.M.c	2.0 1.5 0.8	0	934
1119	German	name	57	naːmə	n aː m ə	334	4 7 4 7	AXBZ	NAME	8	8.N.C 8.A.V 8.M.C 8.E.V	2.0 1.5 1.75 0.8	0	934
1120	Spanish	name	57	nombɾe	n o m b ɾ e	334	4 7 4 1 5 7	AXMBCZ	NUMPRE	18	18.N.C 18.U.V 18.M.c 18.P.C 18.R.C 18.E.V	2.0 1.5 1.1 1.75 1.5 0.8	0	947
1121	Danish	name	57	nɑwˀn	n ɑ wˀ n	334	4 7 6 4	AXLN	NAWN	4	4.N.C 4.A.V 4.W.c 4.N.c	2.0 1.5 1.1 0.8	0	933
1122	Bulgarian	name	57	imɛ	i m ɛ	334	7 4 7	XBZ	IME	2	2.I.V 2.M.C 2.E.V	1.5 1.75 0.8	0	931
1123	Greek	name	57	onoma	o n o m a	334	7 4 7 4 7	XBYBZ	UNUMA	9	9.U.V 9.N.C 9.U.V 9.M.C 9.A.V	1.5 1.75 1.3 1.75 0.8	0	934
1124	Armenian	name	57	ɑnun	ɑ n u n	334	7 4 7 4	XBYN	ANYN	1	1.A.V 1.N.C 1.Y.V 1.N.c	1.5 1.75 1.3 0.8	0	930
1125	Romanian	name	57	nume	n u m e	334	4 7 4 7	AXBZ	NYME	16	16.N.C 16.Y.V 16.M.C 16.E.V	2.0 1.5 1.75 0.8	0	934
1126	Russian	name	57	imʲə	i mʲ ə	334	7 4 7	XBZ	IME	17	17.I.V 17.M.C 17.E.V	1.5 1.75 0.8	0	931
1127	Polish	name	57	imʲɛ̃	i mʲ ɛ̃	334	7 4 7	XBZ	IME	14	14.I.V 14.M.C 14.E.V	1.5 1.75 0.8	0	931
1128	Norwegian	name	57	nɑʋn	n ɑ ʋ n	-334	4 7 6 4	AXLN	NAWN	13	13.N.C 13.A.V 13.W.c 13.N.c	2.0 1.5 1.1 0.8	0	933
1129	French	name	57	nɔ̃	n ɔ̃	334	4 7	AX	NU	7	7.N.C 7.U.V	2.0 1.5	0	934
1130	Czech	name	57	jmɛːno	j m ɛː n o	334	6 4 7 4 7	ACYBZ	JMENU	3	3.J.C 3.M.C 3.E.V 3.N.C 3.U.V	2.0 1.5 1.3 1.75 0.8	0	932
1131	Icelandic	name	57	napn	n a p n	334	4 7 1 4	AXBC	NAPN	11	11.N.C 11.A.V 11.P.C 11.N.C	2.0 1.5 1.75 1.5	0	940
1132	Italian	name	57	nome	n o m e	334	4 7 4 7	AXBZ	NUME	12	12.N.C 12.U.V 12.M.C 12.E.V	2.0 1.5 1.75 0.8	0	934
1133	Hindi	name	57	naːm	n aː m	334	4 7 4	AXN	NAM	10	10.N.C 10.A.V 10.M.c	2.0 1.5 0.8	0	934
1134	Portuguese	name	57	nomə	n o m ə	334	4 7 4 7	AXBZ	NUME	15	15.N.C 15.U.V 15.M.C 15.E.V	2.0 1.5 1.75 0.8	0	934
2005	Dutch	near	103	naːbɛɪ	n aː b ɛɪ	574	4 7 1 7	AXBZ	NAPE	5	5.N.C 5.A.V 5.P.C 5.E.V	2.0 1.5 1.75 0.8	0	952
2006	Swedish	near	103	nɛːra	n ɛː r a	574	4 7 5 7	AXBZ	NERA	19	19.N.C 19.E.V 19.R.C 19.A.V	2.0 1.5 1.75 0.8	0	952
2007	English	near	103	nɪər	n ɪə r	574	4 7 5	AXN	NIR	6	6.N.C 6.I.V 6.R.c	2.0 1.5 0.8	0	952
2008	German	near	103	naːə	n aːə	574	4 7	AX	NA	8	8.N.C 8.A.V	2.0 1.5	0	952
2009	Spanish	near	103	θerka	θ e r k a	568	3 7 5 1 7	AXMBZ	DERKA	18	18.D.C 18.E.V 18.R.c 18.K.C 18.A.V	2.0 1.5 1.1 1.75 0.8	0	965
2010	Danish	near	103	nɛˀʁ	n ɛˀ ʁ	574	4 7 5	AXN	NER	4	4.N.C 4.E.V 4.R.c	2.0 1.5 0.8	0	952
2011	Bulgarian	near	103	blizək	b l i z ə k	570	1 5 7 3 7 1	ACXBYN	PLISEK	2	2.P.C 2.L.C 2.I.V 2.S.C 2.E.V 2.K.c	2.0 1.5 1.5 1.75 1.3 0.8	0	949
2012	Greek	near	103	konda	k o n d a	573	1 7 4 1 7	AXMBZ	KUNTA	9	9.K.C 9.U.V 9.N.c 9.T.C 9.A.V	2.0 1.5 1.1 1.75 0.8	0	956
2013	Armenian	near	103	mot	m o t	-575	4 7 1	AXN	MUT	1	1.M.C 1.U.V 1.T.c	2.0 1.5 0.8	0	948
2014	Romanian	near	103	apropia	a p r o p ia	567	7 1 5 7 1 7	XBCYBZ	APRUPI	16	16.A.V 16.P.C 16.R.C 16.U.V 16.P.C 16.I.V	1.5 1.75 1.5 1.3 1.75 0.8	0	963
2015	Russian	near	103	blʲizkʲɪj	b lʲ i z kʲ ɪ j	570	1 5 7 3 1 7 6	ACXMBYN	PLISKIJ	17	17.P.C 17.L.C 17.I.V 17.S.c 17.K.C 17.I.V 17.J.c	2.0 1.5 1.5 1.1 1.75 1.3 0.8	0	949
2016	Polish	near	103	bliskɨ	b l i s k ɨ	570	1 5 7 3 1 7	ACXMBZ	PLISKI	14	14.P.C 14.L.C 14.I.V 14.S.c 14.K.C 14.I.V	2.0 1.5 1.5 1.1 1.75 0.8	0	949
2017	Norwegian	near	103	næːɾ	n æː ɾ	574	4 7 5	AXN	NER	13	13.N.C 13.E.V 13.R.c	2.0 1.5 0.8	0	952
2018	French	near	103	prɔʃ	p r ɔ ʃ	567	1 5 7 3	ACXN	PRUS	7	7.P.C 7.R.C 7.U.V 7.S.c	2.0 1.5 1.5 0.8	0	954
2019	Czech	near	103	bliːskiː	b l iː s k iː	570	1 5 7 3 1 7	ACXMBZ	PLISKI	3	3.P.C 3.L.C 3.I.V 3.S.c 3.K.C 3.I.V	2.0 1.5 1.5 1.1 1.75 0.8	0	949
2020	Icelandic	near	103	nauː	n auː	574	4 7	AX	NA	11	11.N.C 11.A.V	2.0 1.5	0	952
2021	Italian	near	103	prossimo	p r o sː i m o	567	1 5 7 3 7 4 7	ACXBYBZ	PRUSIMU	12	12.P.C 12.R.C 12.U.V 12.S.C 12.I.V 12.M.C 12.U.V	2.0 1.5 1.5 1.75 1.3 1.75 0.8	0	954
2022	Hindi	near	103	paːs	p aː s	572	1 7 3	AXN	PAS	10	10.P.C 10.A.V 10.S.c	2.0 1.5 0.8	0	957
2023	Portuguese	near	103	prɔsimu	p r ɔ s i m u	567	1 5 7 3 7 4 7	ACXBYBZ	PRUSIMY	15	15.P.C 15.R.C 15.U.V 15.S.C 15.I.V 15.M.C 15.Y.V	2.0 1.5 1.5 1.75 1.3 1.75 0.8	0	954
2024	Dutch	near	103	dɪɣdbɛɪ	d ɪ ɣ d b ɛɪ	569	1 7 3 1 1 7	AXLMBZ	TIGTPE	5	5.T.C 5.I.V 5.G.c 5.T.c 5.P.C 5.E.V	2.0 1.5 1.1 1.1 1.75 0.8	0	967
2025	English	near	103	kləʊs	k l əʊ s	-571	1 5 7 3	ACXN	KLES	6	6.K.C 6.L.C 6.E.V 6.S.c	2.0 1.5 1.5 0.8	0	949
1135	Dutch	neck	58	hɑls	h ɑ l s	339	3 7 5 3	AXLN	HALS	5	5.H.C 5.A.V 5.L.c 5.S.c	2.0 1.5 1.1 0.8	0	971
1136	Swedish	neck	58	halːs	h a lː s	339	3 7 5 3	AXLN	HALS	19	19.H.C 19.A.V 19.L.c 19.S.c	2.0 1.5 1.1 0.8	0	971
1137	English	neck	58	nɛk	n ɛ k	342	4 7 1	AXN	NEK	6	6.N.C 6.E.V 6.K.c	2.0 1.5 0.8	0	973
1138	German	neck	58	hals	h a l s	339	3 7 5 3	AXLN	HALS	8	8.H.C 8.A.V 8.L.c 8.S.c	2.0 1.5 1.1 0.8	0	971
1139	Spanish	neck	58	kweʎo	k w e ʎ o	339	1 6 7 5 7	ACXBZ	KWELU	18	18.K.C 18.W.C 18.E.V 18.L.C 18.U.V	2.0 1.5 1.5 1.75 0.8	0	974
1140	Danish	neck	58	halˀs	h a lˀ s	339	3 7 5 3	AXLN	HALS	4	4.H.C 4.A.V 4.L.c 4.S.c	2.0 1.5 1.1 0.8	0	971
1141	Bulgarian	neck	58	ʃijə	ʃ i j ə	340	3 7 6 7	AXBZ	SIJE	2	2.S.C 2.I.V 2.J.C 2.E.V	2.0 1.5 1.75 0.8	0	969
1142	Armenian	neck	58	viz	v i z	341	3 7 3	AXN	BIS	1	1.B.C 1.I.V 1.S.c	2.0 1.5 0.8	0	968
1143	Romanian	neck	58	gɨt	g ɨ t	-338	1 7 1	AXN	KIT	16	16.K.C 16.I.V 16.T.c	2.0 1.5 0.8	0	982
1144	Russian	neck	58	ʃejə	ʃ e j ə	340	3 7 6 7	AXBZ	SEJE	17	17.S.C 17.E.V 17.J.C 17.E.V	2.0 1.5 1.75 0.8	0	969
1145	Polish	neck	58	ʃɨja	ʃ ɨ j a	340	3 7 6 7	AXBZ	SIJA	14	14.S.C 14.I.V 14.J.C 14.A.V	2.0 1.5 1.75 0.8	0	969
1146	Norwegian	neck	58	hɑls	h ɑ l s	339	3 7 5 3	AXLN	HALS	13	13.H.C 13.A.V 13.L.c 13.S.c	2.0 1.5 1.1 0.8	0	971
1147	French	neck	58	ku	k u	339	1 7	AX	KY	7	7.K.C 7.Y.V	2.0 1.5	0	974
1148	Czech	neck	58	kr̩k	k r̩ k	335	1 5 1	AXN	KRK	3	3.K.C 3.R.V 3.K.c	2.0 1.5 0.8	0	970
1149	Icelandic	neck	58	hauls	h au l s	339	3 7 5 3	AXLN	HALS	11	11.H.C 11.A.V 11.L.c 11.S.c	2.0 1.5 1.1 0.8	0	971
1150	Italian	neck	58	kɔllo	k ɔ lː o	339	1 7 5 7	AXBZ	KULU	12	12.K.C 12.U.V 12.L.C 12.U.V	2.0 1.5 1.75 0.8	0	974
1151	Hindi	neck	58	gəlaː	g ə l aː	336	1 7 5 7	AXBZ	KELA	10	10.K.C 10.E.V 10.L.C 10.A.V	2.0 1.5 1.75 0.8	0	974
1152	Portuguese	neck	58	kɔlu	k ɔ l u	339	1 7 5 7	AXBZ	KULY	15	15.K.C 15.U.V 15.L.C 15.Y.V	2.0 1.5 1.75 0.8	0	974
1153	Dutch	neck	58	nɛk	n ɛ k	342	4 7 1	AXN	NEK	5	5.N.C 5.E.V 5.K.c	2.0 1.5 0.8	0	973
1154	Bulgarian	neck	58	vrat	v r a t	337	3 5 7 1	ACXN	BRAT	2	2.B.C 2.R.C 2.A.V 2.T.c	2.0 1.5 1.5 0.8	0	986
1155	Dutch	new	59	niːʋ	n iː ʋ	343	4 7 6	AXN	NIW	5	5.N.C 5.I.V 5.W.c	2.0 1.5 0.8	0	991
1156	Swedish	new	59	nyː	n yː	343	4 7	AX	NY	19	19.N.C 19.Y.V	2.0 1.5	0	990
1157	English	new	59	njuː	n j uː	343	4 6 7	ACX	NJY	6	6.N.C 6.J.C 6.Y.V	2.0 1.5 1.5	0	990
1158	German	new	59	nɔy	n ɔy	343	4 7	AX	NU	8	8.N.C 8.U.V	2.0 1.5	0	990
1159	Spanish	new	59	nweβo	n w e β o	343	4 6 7 3 7	ACXBZ	NWEBU	18	18.N.C 18.W.C 18.E.V 18.B.C 18.U.V	2.0 1.5 1.5 1.75 0.8	0	993
1160	Danish	new	59	nyˀ	n yˀ	343	4 7	AX	NY	4	4.N.C 4.Y.V	2.0 1.5	0	990
1161	Bulgarian	new	59	nɔf	n ɔ f	343	4 7 3	AXN	NUB	2	2.N.C 2.U.V 2.B.c	2.0 1.5 0.8	0	988
1162	Greek	new	59	neos	n eo s	343	4 7 3	AXN	NES	9	9.N.C 9.E.V 9.S.c	2.0 1.5 0.8	0	990
1163	Armenian	new	59	noɾ	n o ɾ	343	4 7 5	AXN	NUR	1	1.N.C 1.U.V 1.R.c	2.0 1.5 0.8	0	987
1164	Romanian	new	59	now	n o w	343	4 7 6	AXN	NUW	16	16.N.C 16.U.V 16.W.c	2.0 1.5 0.8	0	993
1165	Russian	new	59	novɨj	n o v ɨ j	343	4 7 3 7 6	AXBYN	NUBIJ	17	17.N.C 17.U.V 17.B.C 17.I.V 17.J.c	2.0 1.5 1.75 1.3 0.8	0	993
1166	Polish	new	59	nɔvɨ	n ɔ v ɨ	343	4 7 3 7	AXBZ	NUBI	14	14.N.C 14.U.V 14.B.C 14.I.V	2.0 1.5 1.75 0.8	0	993
1167	Norwegian	new	59	nyː	n yː	343	4 7	AX	NY	13	13.N.C 13.Y.V	2.0 1.5	0	990
1168	French	new	59	nœf	n œ f	343	4 7 3	AXN	NUB	7	7.N.C 7.U.V 7.B.c	2.0 1.5 0.8	0	993
1169	Czech	new	59	noviː	n o v iː	343	4 7 3 7	AXBZ	NUBI	3	3.N.C 3.U.V 3.B.C 3.I.V	2.0 1.5 1.75 0.8	0	993
1170	Icelandic	new	59	niːr	n iː r	343	4 7 5	AXN	NIR	11	11.N.C 11.I.V 11.R.c	2.0 1.5 0.8	0	990
1171	Italian	new	59	nwɔvo	n w ɔ v o	343	4 6 7 3 7	ACXBZ	NWUBU	12	12.N.C 12.W.C 12.U.V 12.B.C 12.U.V	2.0 1.5 1.5 1.75 0.8	0	993
1172	Hindi	new	59	nəjaː	n ə j aː	343	4 7 6 7	AXBZ	NEJA	10	10.N.C 10.E.V 10.J.C 10.A.V	2.0 1.5 1.75 0.8	0	996
